"Statistic","Year","County","School Programme","UNIT","VALUE"
"Classes in National Schools","2018","Mayo","All mainstream national school programmes","Number","641"
"Classes in National Schools","2018","Mayo","Pupils with special needs in mainstream national schools","Number","18"
"Classes in National Schools","2018","Mayo","Pupils in special national schools","Number","19"
"Classes in National Schools","2018","Roscommon","All first level school programmes","Number","364"
"Classes in National Schools","2018","Roscommon","All mainstream national school programmes","Number","345"
"Classes in National Schools","2018","Roscommon","Pupils with special needs in mainstream national schools","Number","12"
"Classes in National Schools","2018","Roscommon","Pupils in special national schools","Number","7"
"Classes in National Schools","2018","Sligo","All first level school programmes","Number","343"
"Classes in National Schools","2018","Sligo","All mainstream national school programmes","Number","320"
"Classes in National Schools","2018","Sligo","Pupils with special needs in mainstream national schools","Number","10"
"Classes in National Schools","2018","Sligo","Pupils in special national schools","Number","13"
"Classes in National Schools","2018","Cavan","All first level school programmes","Number","458"
"Classes in National Schools","2018","Cavan","All mainstream national school programmes","Number","411"
"Classes in National Schools","2018","Cavan","Pupils with special needs in mainstream national schools","Number","23"
"Classes in National Schools","2018","Cavan","Pupils in special national schools","Number","24"
"Classes in National Schools","2018","Donegal","All first level school programmes","Number","860"
"Classes in National Schools","2018","Donegal","All mainstream national school programmes","Number","797"
"Classes in National Schools","2018","Donegal","Pupils with special needs in mainstream national schools","Number","36"
"Classes in National Schools","2018","Donegal","Pupils in special national schools","Number","27"
"Classes in National Schools","2018","Monaghan","All first level school programmes","Number","332"
"Classes in National Schools","2018","Monaghan","All mainstream national school programmes","Number","314"
"Classes in National Schools","2018","Monaghan","Pupils with special needs in mainstream national schools","Number","18"
"Classes in National Schools","2018","Monaghan","Pupils in special national schools","Number","0"
"Classes in National Schools","2019","All Counties","All first level school programmes","Number","25003"
"Classes in National Schools","2019","All Counties","All mainstream national school programmes","Number","22747"
"Classes in National Schools","2019","All Counties","Pupils with special needs in mainstream national schools","Number","1053"
"Classes in National Schools","2019","All Counties","Pupils in special national schools","Number","1203"
"Classes in National Schools","2019","Carlow","All first level school programmes","Number","346"
"Classes in National Schools","2019","Carlow","All mainstream national school programmes","Number","302"
